game_id,turns_started,kinnan_activations,reached_turn_limit,game_over,winner
0,6,2,True,False,
1,6,0,True,False,
2,6,3,True,False,
3,6,0,True,False,
4,6,0,True,False,
5,6,0,True,False,
6,6,0,True,False,
7,6,0,True,False,
8,6,0,True,False,
9,6,0,True,False,
10,6,0,True,False,
11,6,0,True,False,
12,6,0,True,False,
13,6,0,True,False,
14,6,4,True,False,
15,6,0,True,False,
16,6,0,True,False,
17,6,0,True,False,
18,6,0,True,False,
19,6,0,True,False,
20,6,0,True,False,
21,6,0,True,False,
22,6,1,True,False,
23,6,0,True,False,
24,6,0,True,False,
25,6,1,True,False,
26,6,0,True,False,
27,6,0,True,False,
28,6,0,True,False,
29,6,0,True,False,
30,6,0,True,False,
31,6,3,True,False,
32,6,0,True,False,
33,6,0,True,False,
34,6,0,True,False,
35,6,0,True,False,
36,6,1,True,False,
37,6,0,True,False,
38,6,0,True,False,
39,6,0,True,False,
40,6,0,True,False,
41,6,0,True,False,
42,6,1,True,False,
43,6,0,True,False,
44,6,0,True,False,
45,6,0,True,False,
46,6,0,True,False,
47,6,1,True,False,
48,6,0,True,False,
49,6,0,True,False,
50,6,1,True,False,
51,6,0,True,False,
52,6,0,True,False,
53,6,3,True,False,
54,6,0,True,False,
55,6,0,True,False,
56,6,0,True,False,
57,6,0,True,False,
58,6,0,True,False,
59,6,1,True,False,
60,6,0,True,False,
61,6,0,True,False,
62,6,1,True,False,
63,6,0,True,False,
64,6,2,True,False,
65,6,0,True,False,
66,6,0,True,False,
67,6,0,True,False,
68,6,0,True,False,
69,6,0,True,False,
70,6,2,True,False,
71,6,1,True,False,
72,6,0,True,False,
73,6,0,True,False,
74,6,0,True,False,
75,6,0,True,False,
76,6,0,True,False,
77,6,0,True,False,
78,6,0,True,False,
79,6,3,True,False,
80,6,0,True,False,
81,6,0,True,False,
82,6,0,True,False,
83,6,0,True,False,
84,6,0,True,False,
85,6,0,True,False,
86,6,0,True,False,
87,6,1,True,False,
88,6,0,True,False,
89,6,0,True,False,
90,6,0,True,False,
91,6,0,True,False,
92,6,0,True,False,
93,6,0,True,False,
94,6,0,True,False,
95,6,0,True,False,
96,6,2,True,False,
97,6,0,True,False,
98,6,0,True,False,
99,6,2,True,False,
